query,intent
What are the estimated costs for this service? I need to,billing_inquiry
How can I make a payment? I need to,billing_inquiry
How do I cancel my upcoming appointment? I need to,book_appointment
What are the estimated costs for this service? please,billing_inquiry
I need a refill for my prescription for Lipitor I need to,prescription_refill
What do these results mean? please,test_results
hi I need to,greeting
good evening I need to,greeting
hi can you,greeting
What do these results mean? please,test_results
Do you offer parking? could you,hospital_information
What are some common causes of headaches? can you,symptom_analysis
How can I make a payment? I need to,billing_inquiry
good afternoon please,greeting
Do you offer parking? please,hospital_information
What are the estimated costs for this service? can you,billing_inquiry
How do I submit a complaint? could you,feedback
Does my insurance cover this appointment? could you,insurance_inquiry
What appointments are available for dermatology this week? could you,book_appointment
hey there can you,greeting
Can I view my recent test results? I need to,test_results
I'm looking for a doctor for headache I need to,find_doctor
I'm having trouble navigating the system I need to,support
What do these results mean? can you,test_results
I'm having trouble navigating the system can you,support
I'm looking for a doctor for headache could you,find_doctor
good morning can you,greeting
What is your cancellation policy? could you,faq_cancellation
hello can you,greeting
Does my insurance cover this appointment? could you,insurance_inquiry
How can I make a payment? please,billing_inquiry
Is there wheelchair accessibility? please,hospital_information
What are the estimated costs for this service? please,billing_inquiry
Can I see a specialist in cardiology? I need to,find_doctor
Can I reschedule my appointment with Dr. Smith? can you,book_appointment
Do you offer parking? please,hospital_information
What are some common causes of headaches? please,symptom_analysis
What are the qualifications of Dr. Smith? can you,find_doctor
What are the qualifications of Dr. Smith? can you,find_doctor
I need a refill for my prescription for Lipitor can you,prescription_refill
hey there can you,greeting
Find doctors accepting new patients I need to,find_doctor
Is there wheelchair accessibility? could you,hospital_information
Can I renew my prescriptions online? please,prescription_refill
What are your visiting hours? please,hospital_information
Can you connect me with a live representative? please,support
good morning can you,greeting
I need a refill for my prescription for Lipitor I need to,prescription_refill
How do I cancel my upcoming appointment? I need to,book_appointment
Can I renew my prescriptions online? please,prescription_refill
Is there wheelchair accessibility? I need to,hospital_information
Is there wheelchair accessibility? I need to,hospital_information
Where is the cardiology department located? please,hospital_information
good afternoon I need to,greeting
What is your cancellation policy? can you,faq_cancellation
Where is the cardiology department located? please,hospital_information
hi can you,greeting
What are some common causes of headaches? I need to,symptom_analysis
What are the estimated costs for this service? could you,billing_inquiry
What are the estimated costs for this service? could you,billing_inquiry
Do you offer parking? can you,hospital_information
Can I reschedule my appointment with Dr. Smith? could you,book_appointment
Can you recommend resources for diabetes? can you,health_education
What is your cancellation policy? I need to,faq_cancellation
hi please,greeting
What are the estimated costs for this service? can you,billing_inquiry
What do these results mean? could you,test_results
Find doctors accepting new patients please,find_doctor
What are the estimated costs for this service? I need to,billing_inquiry
Do you offer parking? I need to,hospital_information
What are the estimated costs for this service? please,billing_inquiry
What do these results mean? can you,test_results
What do these results mean? can you,test_results
hello please,greeting
How can I prevent hypertension? could you,preventive_care
good morning please,greeting
What are some common causes of headaches? please,symptom_analysis
how can I help you today? can you,greeting
What are the qualifications of Dr. Smith? I need to,find_doctor
Can I reschedule my appointment with Dr. Smith? I need to,book_appointment
What are some common causes of headaches? please,symptom_analysis
Can I see a specialist in cardiology? could you,find_doctor
What are your visiting hours? could you,hospital_information
I'm having trouble navigating the system please,support
What are some common causes of headaches? I need to,symptom_analysis
What do these results mean? I need to,test_results
How can I make a payment? could you,billing_inquiry
good morning can you,greeting
Can I see a specialist in cardiology? please,find_doctor
What are the qualifications of Dr. Smith? please,find_doctor
How can I prevent hypertension? I need to,preventive_care
What do these results mean? can you,test_results
What are the qualifications of Dr. Smith? please,find_doctor
Where is the cardiology department located? can you,hospital_information
How can I make a payment? could you,billing_inquiry
Can I view my recent test results? could you,test_results
Where is the cardiology department located? I need to,hospital_information
Can you recommend resources for diabetes? could you,health_education
What appointments are available for dermatology this week? I need to,book_appointment
good morning I need to,greeting
Do you offer parking? can you,hospital_information
What are the qualifications of Dr. Smith? could you,find_doctor
Find doctors accepting new patients I need to,find_doctor
Can I renew my prescriptions online? please,prescription_refill
How can I make a payment? can you,billing_inquiry
Find doctors accepting new patients could you,find_doctor
Does my insurance cover this appointment? please,insurance_inquiry
What are the qualifications of Dr. Smith? can you,find_doctor
What appointments are available for dermatology this week? can you,book_appointment
how can I help you today? please,greeting
I'm having trouble navigating the system I need to,support
Can I reschedule my appointment with Dr. Smith? please,book_appointment
I'm having trouble navigating the system could you,support
I need a refill for my prescription for Lipitor I need to,prescription_refill
Can you connect me with a live representative? I need to,support
hey there I need to,greeting
What are the estimated costs for this service? I need to,billing_inquiry
Is there wheelchair accessibility? please,hospital_information
I'm having trouble navigating the system I need to,support
What are your visiting hours? can you,hospital_information
good morning I need to,greeting
